Open,High,Low,Close,Date,SRETURN
26419.53,26508.27,26383.16,26419.55,22-Aug-2014,0.002254922
26490.31,26630.74,26401.64,26437.02,25-Aug-2014,0.000661253
26349.87,26481.97,26314.89,26442.81,26-Aug-2014,0.000219011
26553.24,26599.12,26492.5,26560.15,27-Aug-2014,0.004437501
26620.18,26674.38,26573.69,26638.11,28-Aug-2014,0.002935224
26733.18,26900.3,26732.39,26867.55,01-Sep-2014,0.008613224
26888.21,27082.85,26886.22,27019.39,02-Sep-2014,0.005651427
27128.06,27225.85,27067.02,27139.94,03-Sep-2014,0.004461611
27164.95,27169.12,26972.39,27085.93,04-Sep-2014,-0.001990056
27127.26,27178.8,26920.56,27026.7,05-Sep-2014,-0.002186744
27145.12,27354.99,27144.56,27319.85,08-Sep-2014,0.010846681
27316.43,27328.27,27177.09,27265.32,09-Sep-2014,-0.001995985
27230.94,27251.44,27018.11,27057.41,10-Sep-2014,-0.007625438
27143.22,27150.78,26904.5,26995.87,11-Sep-2014,-0.002274423
27048.15,27096.87,26965.91,27061.04,12-Sep-2014,0.002414073
26998.07,26998.07,26790.91,26816.56,15-Sep-2014,-0.00903439
26854.9,26861.29,26464.03,26492.51,16-Sep-2014,-0.012083951
26627.21,26682.64,26511.71,26631.29,17-Sep-2014,0.005238462
26573.89,27132.2,26503.08,27112.21,18-Sep-2014,0.018058457
27139.39,27247.17,27047.68,27090.42,19-Sep-2014,-0.000803697
27008.12,27254.8,26918.93,27206.74,22-Sep-2014,0.004293769
27244.98,27256.87,26744.07,26775.69,23-Sep-2014,-0.015843501
26817.94,26844.7,26560,26744.69,24-Sep-2014,-0.001157767
26808.66,26814.2,26349.55,26468.36,25-Sep-2014,-0.010332144
26429.3,26721.03,26220.49,26626.32,26-Sep-2014,0.00596788
26694.41,26715.77,26518.01,26597.11,29-Sep-2014,-0.001097035
26610.71,26851.33,26481.31,26630.51,30-Sep-2014,0.001255776
26681.47,26683.7,26548.22,26567.99,01-Oct-2014,-0.002347683
26487.51,26570.38,26250.24,26271.97,07-Oct-2014,-0.01114198
26229.67,26338.31,26150.09,26246.79,08-Oct-2014,-0.000958436
26394.37,26688.7,26394.21,26637.28,09-Oct-2014,0.014877629
26551.74,26555.92,26261.61,26297.38,10-Oct-2014,-0.012760312
26275.07,26443.16,26092.69,26384.07,13-Oct-2014,0.003296526
26537.42,26550.79,26212.01,26349.33,14-Oct-2014,-0.001316704
26260.35,26462.08,25933.98,25999.34,16-Oct-2014,-0.013282691
25950,26248.54,25910.77,26108.53,17-Oct-2014,0.004199722
26434.16,26517.9,26368.94,26429.85,20-Oct-2014,0.012307089
26552.45,26615.41,26407,26575.65,21-Oct-2014,0.00551649
26782.57,26818.33,26712.21,26787.23,22-Oct-2014,0.007961423
26889.51,26930.23,26827.68,26851.05,23-Oct-2014,0.002382479
26959.57,26994.96,26726.84,26752.9,27-Oct-2014,-0.003655351
26788.73,26907.14,26764.15,26880.82,28-Oct-2014,0.004781538
27017.44,27126.3,26971.16,27098.17,29-Oct-2014,0.008085691
27098.94,27390.6,27088.65,27346.33,30-Oct-2014,0.009157814
27439.06,27894.32,27438.28,27865.83,31-Oct-2014,0.018997065
27943.04,27969.82,27785.4,27860.38,03-Nov-2014,-0.00019558
27907.19,28010.39,27857.65,27915.88,05-Nov-2014,0.001992076
27902.71,27980.93,27739.56,27868.63,07-Nov-2014,-0.001692585
27919.45,28027.96,27764.75,27874.73,10-Nov-2014,0.000218884
27911.25,27996.92,27790.4,27910.06,11-Nov-2014,0.001267456
27958.64,28126.48,27958.64,28008.9,12-Nov-2014,0.003541375
28048.56,28098.74,27822.7,27940.64,13-Nov-2014,-0.002437082
27949.54,28093.23,27912.9,28046.66,14-Nov-2014,0.003794473
